編號,單位,行政區,地址,備註
1,良陽國際有限公司,士林區,臺北市士林區士東路250號,檢驗站
2,駿輝機車行,士林區,臺北市士林區大南路295號,檢驗站
3,捷運淡水線劍潭站,士林區,臺北市士林區中山北路5段65號,捷運站
4,永景機車材料行,士林區,臺北市士林區中山北路6段405巷79號1樓,檢驗站
5,新天母機車行,士林區,臺北市士林區中山北路6段405巷83號,檢驗站
6,福林公園地下停車場,士林區,臺北市士林區中正路17號,公有停車場
7,北大機車材料行,士林區,臺北市士林區中正路411、413號,檢驗站
8,巨揚機車行,士林區,臺北市士林區中正路605號,檢驗站
9,社子清潔分隊(葫蘆),士林區,臺北市士林區中正路臨707-1號(重陽橋下),清潔隊
10,好發達車業,士林區,臺北市士林區天母東路8巷99號,檢驗站
11,銘豐機車行,士林區,臺北市士林區文林路314號,檢驗站
12,文昌國小地下停車場,士林區,臺北市士林區文林路615巷20號地下,公有停車場
13,富偉機車行,士林區,臺北市士林區文林路663號,檢驗站
14,瑞展機車行,士林區,臺北市士林區文林路752號,車行
15,卉茂實業有限公司,士林區,臺北市士林區文林路764號,檢驗站
16,新鎰昌機車行,士林區,臺北市士林區至誠路1段2-6號,檢驗站
17,金晉車業行,士林區,臺北市士林區延平北路5段111號,車行
18,台益機車有限公司,士林區,臺北市士林區延平北路5段129號,檢驗站
19,原益車業行,士林區,臺北市士林區延平北路5段14號,檢驗站
20,力泰車業有限公司,士林區,臺北市士林區延平北路5段220號,檢驗站
21,日輝車業有限公司,士林區,臺北市士林區延平北路5段41號1樓,檢驗站
22,嘉盛車業行,士林區,臺北市士林區延平北路6段139號,檢驗站
23,聖平車業行,士林區,臺北市士林區延平北路6段149號,檢驗站
24,社子國小地下停車場,士林區,臺北市士林區延平北路6段308號地下,公有停車場
25,福安里辦公室,士林區,臺北市士林區延平北路7段107巷10號,里辦公室
26,得勝機車行,士林區,臺北市士林區延平北路8段175號,車行
27,中華汽車社子服務廠,士林區,臺北市士林區延平北路六段434號,中華汽車服務廠
28,文發機車行,士林區,臺北市士林區社中街462號,車行
29,名山里貓頭鷹之家,士林區,臺北市士林區雨聲街68號,里辦公室
30,德龍車業行,士林區,臺北市士林區故宮路41巷1號,檢驗站
31,福元機車有限公司,士林區,臺北市士林區重慶北路4段232號,檢驗站
32,益隆車業有限公司,士林區,臺北市士林區重慶北路4段244號,檢驗站
33,草山清潔分隊,士林區,臺北市士林區格致路34號,清潔隊
34,承德公園地下停車場,士林區,臺北市士林區基河路150號,公有停車場
35,進?車業行,士林區,臺北市士林區通河東街1段198號1樓,檢驗站
36,盟業車業行,士林區,臺北市士林區通河街169號,檢驗站
37,學生機車行有限公司,士林區,臺北市士林區華岡路31之3號1樓,檢驗站
38,永生車業有限公司,士林區,臺北市士林區華齡街71號,檢驗站
39,捷運淡水線芝山站,士林區,臺北市士林區福國路70號,捷運站
40,正大機車行,士林區,臺北市士林區德行東路206號,車行
41,誠鎰車業行,士林區,臺北市士林區德行東路23號,檢驗站
42,甲翊機車行,大同區,臺北市大同區大龍街230號,車行
43,建成清潔分隊,大同區,臺北市大同區民權西路194之1號,清潔隊
44,忠億車業有限公司,大同區,臺北市大同區西寧北路17-4號,檢驗站
45,弘展機車有限公司,大同區,臺北市大同區西寧北路93號,檢驗站
46,順旺車業有限公司,大同區,臺北市大同區延平北路1段24號,檢驗站
47,加祥車業有限公司,大同區,臺北市大同區延平北路2段256號,檢驗站
48,新協大車業有限公司,大同區,臺北市大同區延平北路3段67-1號,檢驗站
49,啟聰學校地下停車場,大同區,臺北市大同區延平北路4段205號,公有停車場
50,大華車業有限公司,大同區,臺北市大同區承德路1段47號,檢驗站
51,小緯機車行,大同區,臺北市大同區承德路2段149號,檢驗站
52,建成公園地下停車場,大同區,臺北市大同區承德路2段31號,公有停車場
53,長豐車業行,大同區,臺北市大同區承德路3段160號,檢驗站
54,弘達車業有限公司,大同區,臺北市大同區承德路3段162號,檢驗站
55,大龍清潔分隊,大同區,臺北市大同區承德路3段303之1號(承德橋下),清潔隊
56,國真車業有限公司,大同區,臺北市大同區承德路3段312號,車行
57,瑞明機車行,大同區,臺北市大同區長安西路199號,檢驗站
58,建成國中地下停車場,大同區,臺北市大同區長安西路37號之一,公有停車場
59,大龍國小地下停車場,大同區,臺北市大同區哈密街47號,公有停車場
60,國真機車有限公司,大同區,臺北市大同區哈密街63巷1號,檢驗站
61,吉財機車行,大同區,臺北市大同區哈密街83號,檢驗站
62,良星車業有限公司,大同區,臺北市大同區重慶北路2段39號,檢驗站
63,進益機車行,大同區,臺北市大同區庫倫街31號,車行
64,蘭州清潔分隊,大同區,臺北市大同區敦煌路151之1號,清潔隊
65,立偉成有限公司,大同區,臺北市大同區寧夏路127號,檢驗站
66,蓬萊國小地下停車場,大同區,臺北市大同區寧夏路35號,公有停車場
67,直屬夜勤清潔分隊,大同區,臺北市大同區鄭州路臨50號,清潔隊
68,翊翔機車行,大同區,臺北市大同區錦西街53巷2號,檢驗站
69,磬葉企業有限公司,大同區,臺北市大同區錦西街56號,檢驗站
70,雄偉機車行,大同區,臺北市大同區環河北路1段335號,檢驗站
71,延平清潔分隊,大同區,臺北市大同區環河北路1段臨63-1號,清潔隊
72,金理車業有限公司,大安區,臺北市大安區八德路2段35號,檢驗站
73,萬聯車業行,大安區,臺北市大安區市民大道4段22號,檢驗站
74,樺新車業行,大安區,臺北市大安區市民大道4段64號,檢驗站
75,盛昌機車行,大安區,臺北市大安區辛亥路1段58號,檢驗站
76,台大清潔分隊,大安區,臺北市大安區辛亥路1段臨138號 ,清潔隊
77,和平清潔分隊,大安區,臺北市大安區辛亥路1段臨143號,清潔隊
78,宏立機車事業有限公司,大安區,臺北市大安區和平東路2段141號,檢驗站
79,宏興車業有限公司,大安區,臺北市大安區和平東路3段127號,檢驗站
80,福全車業,大安區,臺北市大安區和平東路3段228巷88號,車行
81,捷運木柵線麟光站,大安區,臺北市大安區和平東路3段410號,捷運站
82,車王二輪社,大安區,臺北市大安區延吉街64-1號,檢驗站
83,敦化清潔分隊,大安區,臺北市大安區忠孝東路3段31號(建國北路橋孔下),清潔隊
84,致盛機車行,大安區,臺北市大安區金華街118-4號,檢驗站
85,新生清潔分隊,大安區,臺北市大安區建國南路1段臨173號(近濟南路3段),清潔隊
86,典輪機車行,大安區,臺北市大安區建國南路2段161號,檢驗站
87,龍門國中地下停車場,大安區,臺北市大安區建國南路2段269號地下停車場,公有停車場
88,大安森林公園地下停車場,大安區,臺北市大安區建國南路2段2號,公有停車場
89,小林機車行,大安區,臺北市大安區建國南路2段79巷3號,檢驗站
90,瑞安清潔分隊,大安區,臺北市大安區建國南路2段臨263號,清潔隊
91,東貿機車有限公司,大安區,臺北市大安區基隆路2段233號,檢驗站
92,臥龍清潔分隊,大安區,臺北市大安區基隆路3段臨24號,清潔隊
93,信全車業有限公司,大安區,臺北市大安區通化街168號,檢驗站
94,迅誠機車行,大安區,臺北市大安區通化街171巷11號,檢驗站
95,福元車業行,大安區,臺北市大安區富陽街2號,車行
96,立暉機車行,大安區,臺北市大安區新生南路2段82-1號1樓,檢驗站
97,崇盛機車行,大安區,臺北市大安區瑞安街152號,檢驗站
